INIT_RX_LOG
INIT_RX_LOG
125004	270	
125113	270	7269767379835868658465
125223	270	
125332	270	
125442	270	
125642	270	11510111611497116101110111114109
130153	270	
130702	270	
131314	270	
131913	270	
132422	270	
132924	270	
133510	270	
134023	270	
134533	270	
135148	270	
135753	270	
140408	270	
140919	270	
141437	270	
142137	270	
142646	270	
143221	270	
144002	270	1151011161149711610110297115116
144217	270	
144933	270	0000000000000000000000000000000000000000000000000
145217	270	7269767379835868827980
145640	270	
