INIT_TX_LOG
INIT_TX_LOG
124859,38.9097,-78.2047,173
124954,38.9096,-78.2047,176
125104,38.9096,-78.2047,177
125214,38.9096,-78.2047,177confTG-Alt: 177 m, Asc-Vel: 0.00 m/
125323,38.9096,-78.2047,176
125438,38.9096,-78.2047,179
125542,38.9096,-78.2047,181
130151,38.9096,-78.2047,174
130654,38.9096,-78.2047,176
131308,38.9097,-78.2047,174
131816,38.9097,-78.2047,177
132417,38.9097,-78.2047,177
132922,38.9097,-78.2047,178
133458,38.9097,-78.2047,173
134010,38.9097,-78.2047,179
134529,38.9057,-78.1989,1057TG-Started timer: 13:41:32
135054,38.8998,-78.1920,2810
135651,38.9233,-78.1726,4859
140346,39.0208,-78.1247,7305
140908,39.1071,-78.0957,9407
141427,39.1667,-78.0790,11508
142021,39.2194,-78.0507,13903
142637,39.2694,-78.0239,16282
143213,39.3107,-78.0030,18317
143730,39.3328,-77.9989,20292
144102,39.3424,-77.9987,21644
144409,39.3464,-78.0113,22744
145206,39.3492,-78.0193,25578
145318,39.3496,-78.0206,26009confTG-Cutdown command heated for 180
