INIT_RX_LOG
125608	270	
125809	270	11510111611497116101110111114109
130326	270	
130836	270	
131342	270	
131917	270	
132435	270	
133026	270	
133602	270	
134245	270	97114109
134759	270	
135324	270	100114111112
135927	270	0000000000000000000000000000000000000000000000000
140443	270	
141002	270	116101115116
141605	270	
142135	270	0000000000000000000000000000000000000000000000000
142847	270	
143355	270	
144017	270	0000000000000000000000000000000000000000000000000
144853	270	1151011161149711610110297115116
145048	270	
145159	270	
145450	270	
145734	270	
150158	270	
150306	270	
150421	270	
150525	270	
150639	270	
150802	270	
150914	270	
151227	270	0000000000000000000000000000000000000000000000000
151518	270	
151641	270	
152332	270	0000000000000000000000000000000000000000000000000
152714	270	
152825	270	
152939	270	
153110	270	
153359	270	
153508	270	
153618	270	
153732	270	
153851	270	
154231	270	
154434	270	
154545	270	
154813	270	
154923	270	
155031	270	
155227	270	11510111611497116101115108111119
160737	270	
162245	270	
