INIT_GPS_LOG
0:4:49,38.993088,-76.939270,0.00,367.00,0
0:4:49,38.993088,-76.939270,21.30,155.00,0
0:4:50,38.993061,-76.939293,21.30,155.00,0
0:4:50,38.993061,-76.939293,19.60,142.00,0
0:4:51,38.993076,-76.939262,19.60,142.00,0
0:4:51,38.993076,-76.939262,24.30,155.00,0
0:4:52,38.993095,-76.939255,24.30,155.00,0
0:4:52,38.993095,-76.939255,25.20,124.00,0
0:4:53,38.993103,-76.939217,25.20,124.00,0
0:4:53,38.993103,-76.939217,27.90,113.00,0
0:4:54,38.993114,-76.939194,27.90,113.00,0
0:4:54,38.993114,-76.939194,26.60,104.00,0
0:4:55,38.993122,-76.939186,26.60,104.00,0
0:4:55,38.993122,-76.939186,27.50,104.00,0
0:4:56,38.993114,-76.939209,27.50,104.00,0
0:4:56,38.993114,-76.939209,29.10,101.00,0
0:4:57,38.993111,-76.939217,29.10,101.00,0
0:4:57,38.993111,-76.939217,29.40,101.00,0
0:4:58,38.993114,-76.939209,29.40,101.00,0
0:4:58,38.993114,-76.939209,30.00,101.00,0
0:4:59,38.993114,-76.939201,30.00,101.00,0
0:4:59,38.993114,-76.939201,30.10,101.00,0
0:5:0,38.993114,-76.939201,30.10,101.00,0
0:5:0,38.993114,-76.939201,29.90,101.00,0
0:5:1,38.993111,-76.939201,29.90,101.00,0
0:5:1,38.993111,-76.939201,29.70,101.00,0
0:5:2,38.993111,-76.939201,29.70,101.00,0
0:5:2,38.993111,-76.939201,29.80,100.00,0
0:5:3,38.993111,-76.939194,29.80,100.00,0
0:5:3,38.993111,-76.939194,29.60,100.00,0
0:5:4,38.993114,-76.939194,29.60,100.00,0
0:5:4,38.993114,-76.939194,30.00,100.00,0
0:5:5,38.993114,-76.939194,30.00,100.00,0
0:5:5,38.993114,-76.939194,29.70,100.00,0
0:5:6,38.993111,-76.939194,29.70,100.00,0
0:5:6,38.993111,-76.939194,29.80,100.00,0
0:5:16,38.993114,-76.939163,29.10,100.00,0
0:5:17,38.993118,-76.939163,29.10,100.00,0
0:5:17,38.993118,-76.939163,29.10,100.00,0
0:5:18,38.993118,-76.939163,29.10,100.00,0
0:5:18,38.993118,-76.939163,29.00,100.00,0
0:5:19,38.993118,-76.939156,29.00,100.00,0
0:5:19,38.993118,-76.939156,29.00,100.00,0
